Movie,Song,Lyrics
High School Musical: The Musical: The Series,"I Think I Kinda, You Know (Nini Version)",so much has happened think of what we've done in the time that the earth has traveled 'round the sun winter spring summer and we're back to fall we've been together hand-in-hand through it all from the minute we kissed and my heart skipped a beat to the night that we danced i was swept off my feet sure as every year has to come to an end i'd go spinning 'round the sun with you again and again and again and again i think i kinda you know i think i kinda you know like the way that we flow like the way that we go and i love i think i kinda you know i think i kinda you know you know you know i can't help dreaming of you guess i'm sayin' i don't not love you you know you know you know 
High School Musical: The Musical: The Series,"I Think I Kinda, You Know (Ricky Version)",so much has happened think of what we've done in the time that the earth has traveled 'round the sun winter spring summer and we're back to fall we've been together hand-in-hand through it all it's just three little words yeah it's not a big deal it's not like i can help feelin' all that i feel and by now i'm sure you're thinkin' it's so obvious but just in case it's not what i'm sayin' is this what i'm sayin' is this i think i kinda you know i think i kinda you know like the way that we flow like the way that we go and i love i think i kinda you know i think i kinda you know i think i kinda you know you know you know you know how we can talk all night and not run out of things to talk about it's rare that something feels this right it feels so right i think i kinda you know i think i kinda you know you know you know i think i kinda you know i think i kinda you know you know you know i can't help dreaming of you guess i'm sayin' i don't not love you you know you know you know 
High School Musical: The Musical: The Series,Just For a Moment, i fell in love with the only girl who knows what i'm about  i fell in love with a boy and i can't tell if i fell out after all is said and done i can't just pretend i'm movin' on  is it just a part we're playing 'cause it don't feel like we're fakin'  when we're underneath the lights my heart's no longer broken for a moment just for a moment when we're singing side by side there's so much left unspoken for a moment just for a moment a moment in love just for a moment a moment in love just for a moment but is a moment enough  way way back then always dreamed it's you and me till the end  now we can't play pretend and i'm scared to talk to my best friend should i stay or let you go will you love me when the curtains close  is it just a part we're playing 'cause it don't feel like we're fakin'  when we're underneath the lights my heart's no longer broken for a moment just for a moment when we're singing side by side there's so much left unspoken for a moment just for a moment a moment in love just for a moment a moment in love just for a moment but is a moment enough  maybe your heart still stops when you see me maybe it's worth another try better place better time  when we're underneath the lights my heart's no longer broken for a moment just for a moment when we're singing side by side there's so much left unspoken for a moment just for a moment a moment in love just for a moment a moment in love just for a moment but is a moment enough when we're underneath the lights my heart's no longer broken for a moment just for a moment 
High School Musical: The Musical: The Series,Out of the Old,feels like i'm not where i'm s'posed to be i don't fit in with these familiar faces and the games they play don't mean a thing to me i know there's so much more i can't stop dreaming and thinking maybe i could be someone different more than a yearbook memory if i leave this i'm risking almost everything am i on the right road outta the old i've gotta find my way into the new give anything it takes i wanna know if no one knew my name would my wildest dreams feel like home if i go out of the old a-oh a-oh and into the new a-oh a-oh out of the old a-oh a-oh and into the new a-oh a-oh yeah i wanna know a-oh a-oh if no one knew my name would my wildest dreams feel like home out of the old i wish these streets were still enough for me i wish this town could give me everything but i still feel stopped while every light turns green why can't i let it go i can't stop dreaming and thinking maybe i could be someone different more than a yearbook memory leaving all this i'm risking almost everything but there's only one road outta the old i've gotta find my way into the new give anything it takes i wanna know if no one knew my name would my wildest dreams feel like home if i go out of the old a-oh a-oh and into the new a-oh a-oh out of the old a-oh a-oh and into the new a-oh a-oh yeah i wanna know a-oh a-oh if no one knew my name would my wildest dreams feel like home a-oh a-oh out of the old a-oh a-oh and into the new a-oh a-oh take me out of the old a-oh a-oh and into the new a-oh a-oh 'cause i wanna go i wanna go just take me 
High School Musical: The Musical: The Series,Role of a Lifetime, those kids they do believe in you and that's worth so much more than a line about a piece of fruit or a tony award  i was going for an egot  let's not get ahead of ourselves  think of this as the role of a lifetime it's the part you were born to play keeping their dreams in your sight line now it's their turn to take the stage think of this as a role to remember like elphaba or éponine  i'm more of a glinda  it's all of the things you could ever bring to a scene  you know what i mean  so give it your all right from the start you gotta play this from the heart you're their teacher you're the lead and you're off book now give it a go show 'em the way we're all in this together at the end of the day i should know after all i played ryan ryan  is this the role of a lifetime the part i was born to play showing them how to smile in the bright lights now it's their turn to take the stage this could be a role to remember like elsa or eva perón i'll teach them to channel their feelings i'll share what i know and live for the show i'll give it my all right from the start i gotta play this from the heart i'm their teacher i'm the lead and i'm off book now  give it a go show 'em the way you gotta let the music play this is now and the rest is history  i felt small i couldn't breathe when they took that apple from me  but you're right here now and you never know when you'll get a cameo  so give it your all right from the start you gotta let them play their parts  tonight all the roles will be played by the drama students of east high  give it a go show 'em the way you gotta let the music play this is now and we're making history  history  history 
High School Musical: The Musical: The Series,"The Medley, The Mashup",coach said to fake right and break left watch out for the pick and keep an eye on defence gotta run the give and go take the ball to the hole and don't be afraid to shoot the outside j you gotta getcha getcha head in the game we gotta get-a get-a get-a get ahead in the game you gotta getcha getcha head in the game we gotta get-a get-a get-a get ahead in the game we gotta getcha getcha head in the game we gotta get-a get-a get-a get ahead in the game everybody quiet this is not what i want this is not what i planned and i just gotta say i do not understand something is really something's not right really wrong and we gotta get things back where they belong not another peep no not another word no not another sound no no no no no stick to the stuff you know it is better by far to keep things as they are don't mess with the flow no no stick to the status stick to the status stick to the status quo soarin' flyin' there's not a star in heaven that we can't reach if we're tryin' so we're breakin' free but your faith it gives me strength strength to believe we're breakin' free we're soarin' flyin' there's not a star in heaven that we can't reach if we're tryin' yeah we're breakin' free oh we're breakin' free we're all in this together once we know that we are we're all stars and we see that wildcats everywhere wave your hands up in the air that's the way we do it let's get to it time to show the world we're all in this together when we reach we can fly know inside we can make it we're all in this together once we see there's a chance that we have and we take it wildcats everywhere wave your hands up in the air that's the way we do it let's get to it come on everyone 
High School Musical: The Musical: The Series,"Truth, Justice and Songs in Our Key",don't say another word some of us need to be heard you want her big confession she never saw dear evan hansen whatever you think about her the show can't go on without her maybe her class could be a little more classy maybe her head's not in the game maybe her past is just a little bit sketchy we need her all the same she's the one who cheers us on so what if she's dropping the ball she stands for truth justice and songs in our key she stands for us and we believe before she got here we were so off track then miss jenn gave us a chance we used to fall asleep in chemistry class now it makes us want to dance she's the show that must go on so we're putting in a good word 'cause we heard she stands for truth justice and songs in our key she stands for us and we believe what's my motivation she provides the inspiration whatever about her reputation seems about time for a modulation she stands for truth justice and songs in our key jazz squares in the choreography sharpay ryan you know they'd agree she stands for us and we believe she stands for us and we believe 
High School Musical: The Musical: The Series,Wondering,seems like a part of me will always have to lose every single time i have to choose swore that it felt right but was i wrong is this where i'm supposed to be at all i don't have the answers not today it's like nothing makes the questions go away what i'd give to see if the grass was greener on the other side of all i've had and lost would it be enough or would i still be wondering if i could go back and change the past be a little brave than i had and bet against the odds would i still be lost even if i woke up in my dreams would there still be something i'm missing if i had everything would it mean anything to me feels like i might have broke the best thing that i had said too much to ever take it back scared i'll never find something as good would i even know it if i could from the other side of all i've had and lost would it be enough or would i still be wondering or would i still be wondering oh if i could go back and change the past be a little brave than i had and bet against the odds would i still be lost even if i woke up in my dreams would there still be something i'm missing if i had everything would it mean anything maybe i should turn around and take the other road or maybe i'm just looking for what i already know i'm just wondering if i could go back and change the past be a little brave than i had and bet against the odds would i still be lost even if i woke up in my dreams would there still be something i'm missing if i had everything would it mean anything to me would it be enough or would i still be wondering 
High School Musical: The Musical: The Series,Wondering (Ashlyn & Nini Piano Version), seems like a part of me will always have to lose every single time i have to choose swore that it felt right but was i wrong is this where i'm supposed to be at all i don't have the answers not today it's like nothing makes the questions go away what i'd give to see if the grass was greener on the other side of all i've had and lost would it be enough or would i still be wondering if i could go back and change the past be a little brave than i had and bet against the odds would i still be lost even if i woke up in my dreams would there still be something i'm missing if i had everything would it mean anything  maybe i should turn around and take the other road or maybe i'm just looking for what i already know  i'm just wondering feels like i might have broke the best thing that i had said too much to ever take it back scared i'll never find something as good would i even know it if i could if i could go back and change the past be a little brave than i had and bet against the odds would i still be lost  even if i woke up in my dreams would there still be something i'm missing if i had everything would it mean anything  to me 
Home on the Range,Anytime You Need a Friend,when you're sad when you're feeling low when you're hurt and don't know where to go think of me there i'll be anytime you need a friend when you're down and your luck runs out or if you're in trouble or in doubt it's okay turn my way anytime you need a friend when you're scared i will stay with you when you feel you've fallen i'll lift you when your heart breaks i'll ease your aches whatever it takes i'm in anytime you need a friend all our lives anywhere we are just reach out i'll never be too far come what may there i'll stay anytime you need a friend when you're scared i will stay with you when you feel you've fallen i'll lift you when your heart breaks i'll ease your aches whatever it takes i'm in anytime you need a friend come what may there i'll stay now until the very end anytime anytime you need a friend anytime anytime i'll be there anytime you needa friend 
Home on the Range,Little Patch of Heaven,i know a place pretty as pie out where the riverbend hits up with the end of the sky it's left of nebraska and over a crest on a little patch of heaven way out west everything's green know what i mean darlin' it's quite the sweetest sight that cha ever done seen ain't nothin' much out there just life at its best on a little patch of heaven way out west bees by the dozen are buzzin' real peaceful every bluebonnet doggone it smells nice even the tumblin' tumbleweed slows down to match your speed on my tiny half-an-acre of paradise darlin' i swear once you been there there ain't a view beneath the blue that could ever compare the only thing missin' is you as my guest on a little patch of heaven way out west why don't cha come visit there's room in my nest on that little patch o' heaven way out west 
Home on the Range,Wherever the Trail May Lead,come with me let's go wander far beyond the wild blue yonder out where stars roam free know the journey's far from breezy stick with me i'll make it easy you can depend on me yeah there's a long road before us and it's a hard road indeed but darling i swear i'll get us there wherever the trail may lead once we cross that far horizon life is bound to be surprising but we'll take it day by day never mind the wind and weather if we walk that trail together somehow we'll find our way yeah there's a long road before us and it's a hard road indeed but darling i vow we'll get there somehow wherever the trail may lead can't tell you when we'll be there it may take all our lives we're headed for that great unknown we'll soon be walking free there till that day arrives at least we won't be travelling alone yeah there's a long road before us and it's a hard road indeed but darling don't fear 'cause i'll be right here to give you the strength you need and through the whole ride i'll be by your side wherever the trail may lead 
Home on the Range,Will the Sun Ever Shine Again,rain is pourin' down like the heavens are hurtin' seems like it's been dark since the devil knows when how do you go on never knowin' for certain will the sun ever shine again fells like it's been years since it started to thunder clouds are campin' out in the valley and glen how do you go on when you can't help but wonder will the sun ever shine again what if the rain keeps fallin' what if the sky stays gray what if the winds keep squallin' and never go away maybe soon the storm will be tired of blowin' maybe soon it all will be over amen how do you go on if there's no way of knowin' will the sun ever shine wish i could say send me a sign one little ray lord if you're listenin' how long until then will the sun ever shine again 
Home on the Range,(You Ain't) Home on the Range,out in the land where the men are tough as cactus out in the land where the wild wild west was won out in the land of the desperado if you're as soft as an avocado yee-ha you're guacamole son home home this ain't it pal home home home on the range home home better go git pal you ain't home on the range out in the land where the weak are target practice home home home on the range out in the land where they shoot the mild and meek home home home on the range out where the bad are a whole lot badder if you're the type with a nervous bladder yee-yow your saddle's gonna reek 'cause you ain't home on the range cowboy you're really up the creek home home home on the range home home home on the range home home home on the range home home home on the range 
The Hunchback of Notre-Dame,A Guy Like You,paris the city of lovers is glowing this evening true that's because it's on fire but still there's l'amour somewhere out there in the night her heart is also alight and i know the guy she just might be burning for a guy like you she's never known kid a guy like you a girl does not meet every day you've got a look that's all your own kid could there be two like you no way those other guys that she could dangle all look the same from every boring point of view you're a surprise from every angle mon dieu above she's gotta love a guy like you a guy like you gets extra credit because it's true you've got a certain something more you're aces kid you see that face you don't forget it want something new that's you for sure we all have gaped at some adonis but then we crave a meal more nourishing to chew and since you're shaped like a croissant is no question of she's gotta love a guy like you call me a hopeless romantic but quasi i feel it she wants you so any moment she'll walk through that door for a guy so swell a guy like you with all you bring her i tell you quasi a fool could tell there never was it's why she fell for you-know-who you ring the bell you're the bell ringer when she wants ooh-la-la then she wants you la-la she will discover guy you're one heck of a guy who wouldn't love a guy like you you got a lot the rest have not she's gotta love a guy like you 
The Hunchback of Notre-Dame,God Help the Outcasts,i don't know if you can hear me or if you're even there i don't know if you would listen to a gypsy's prayer yes i know i'm just an outcast i shouldn't speak to you still i see your face and wonder were you once an outcast too god help the outcasts hungry from birth show them the mercy they don't find on earth god help my people we look to you still god help the outcasts or nobody will i ask for wealth i ask for fame i ask for glory to shine on my name i ask for love i can posess i ask for god and his angels to bless me i ask for nothing i can get by but i know so many less lucky than i please help my people the poor and downtrod i thought we all were the children of god god help the outcasts children of god 
The Hunchback of Notre-Dame,Heaven's Light,so many times out here i've watched a happy pair of lovers walking in the night they had a kind of glow around them it almost looked like heaven's light i knew i'd never know that warm and loving glow though i might wish with all my might no face as hideous as my face was ever meant for heaven's light but suddenly an angel has smiled at me and kissed my cheek without a trace of fright i dare to dream that she might even care for me and as i ring these bells tonight my cold dark tower seems so bright i swear it must be heaven's light 
The Hunchback of Notre-Dame,Hellfire,beata maria you know i am a righteous man of my virtue i am justly proud beata maria you know i'm so much purer than the common vulgar weak licentious crowd then tell me maria why i see her dancing there why her smoldering eyes still scorch my soul i feel her i see her the sun caught in her raven hair is blazing in me out of all control like fire hellfire this fire in my skin this burning desire is turning me to sin it's not my fault i'm not to blame it is the gypsy girl the witch who sent this flame it's not my fault if in god's plan he made the devil so much stronger than a man protect me maria don't let this siren cast her spell don't let her fire sear my flesh and bone destroy esmeralda and let her taste the fires of hell or else let her be mine and mine alone hellfire dark fire now gypsy it's your turn choose me or your pyre be mine or you will burn god have mercy on her god have mercy on me but she will be mine or she will burn 
The Hunchback of Notre-Dame,Out There, the world is cruel the world is wicked it's i alone who you can trust in this whole city i am your only friend i who keep you teach you feed you dress you i who look upon you without fear how can i protect you boy unless you always stay in here away in here you are deformed  i am deformed and you are ugly  and i am ugly and these are crimes for which the world shows little pity you do not comprehend  you are my one defender out there they'll revile you as a monster  i am a monster out there they will hate and scorn and jeer  only a monster why invite their calumny and consternation stay in here be faithful to me  i'm faithful grateful to me  i'm grateful do as i say obey and stay in here  i'll stay in here  safe behind these windows and these parapets of stone gazing at the people down below me all my life i watch them as i hide up here alone hungry for the histories they show me all my life i memorize their faces knowing them as they will never know me all my life i wonder how it feels to pass a day not above them but part of them and out there living in the sun give me one day out there all i ask is one to hold forever out there where they all live unaware what i'd give what i'd dare just to live one day out there out there among the millers and the weavers and their wives through the roofs and gables i can see them every day they shout and scold and go about their lives heedless of the gift it is to be them if i was in their skin i'd treasure every instant out there strolling by the seine taste a morning out there like ordinary men who freely walk about there just one day and then i swear i'll be content with my share won't resent won't despair old and bent i won't care i'll have spent one day out there 
The Hunchback of Notre-Dame,Someday,someday when we are wiser when the world's older when we have learned i pray someday we may yet live to live and let live someday life will be fairer need will be rarer and greed will not pay god speed this bright millennium on its way let it come someday someday our fight will be won then we'll stand in the sun then that bright afternoon oh till then on days when the sun is gone we'll hang on and we'll wish upon the moon there are some days dark and bitter dark and bitter seems we haven't got a prayer but a prayer for something better is the one thing we all share someday someday when we are wiser when we are wiser when the world's older when the world is older when we have learned when we have learned i pray someday we may yet live let live let live to live and let live to live to live to live to live and let live oh someday life will be fairer life will be fairier need will be rarer need will be rarer and greed will not pay no no no god speed this bright millennium let it come wish upon the moon one day someday soon ooh one day someday soon 
The Hunchback of Notre-Dame,The Bells of Notre-Dame, morning in paris the city awakes to the bells of notre dame the fisherman fishes the bakerman bakes to the bells of notre dame to the big bells as loud as the thunder to the little bells soft as a psalm and some say the soul of the city's the toll of the bells the bells of notre dame dark was the night when our tale was begun on the docks near notre dame four frightened gypsies slid silently under the docks near notre dame but a trap had been laid for the gypsies and they gazed up in fear and alarm at a figure whose clutches were iron as much as the bells the bells of notre dame judge claude frollo longed to purge the world of vice and sin and he saw corruption everywhere except within  see there the innocent blood you have spilt on the steps of notre dame now you would add this child's blood to your guilt on the steps of notre dame you can lie to yourself and your minions you can claim that you haven't a qualm but you never can run from nor hide what you've done from the eyes the very eyes of notre dame  and for one time in his life of power and control frollo felt a twinge of fear for his immortal soul  just so he's kept locked away where no one else can see even this foul creature may yet prove one day to be of use to me  now here is a riddle to guess if you can sing the bells of notre dame who is the monster and who is the man sing the bells bells bells bells bells bells bells bells bells of notre dame 
The Hunchback of Notre-Dame,The Bells of Notre-Dame (Reprise),so here is a riddle to guess if you can sing the bells of notre dame what makes a monster and what makes a man sing the bells bells bells bells whatever their pitch you can feel them bewitch you the rich and the ritual knells of the bells of notre-dame 
The Hunchback of Notre-Dame,The Court of Miracles,maybe you've heard of a terrible place where the scoundrels of paris collect in a lair maybe you've heard of that mythical place called the court of miracles hello you're there where the lame can walk and the blind can see but the dead don't talk so you won't be around to reveal what you've found we have a method for spies and intruders rather like hornets protecting their hive here in the court of miracles where it's a miracle if you get out alive justice is swift in the court of miracles i am the lawyers and judge all in one we like to get the trial over with quickly because it's the sentence that's really the fun now that we've seen all the evidence we find you totally innocent which is the worst crime of all so you're going to hang 
The Hunchback of Notre-Dame,Topsy Turvy,come one come all leave your loops and milking stools coop the hens and pen the mules come one come all close the churches and the schools it's the day for breaking rules come and join the feast of fools once a year we throw a party here in town once a year we turn all paris upside down every man's a king and every king's a clown once again it's topsy turvy day it's the day the devil in us gets released it's the day we mock the prig and shock the priest everything is topsy turvy at the feast of fools topsy turvy everything is upsy daysy topsy turvy everyone is acting crazy dross is gold and weeds are a bouquet that's the way on topsy turvy day topsy turvy beat the drums and blow the trumpets topsy turvy join the bums and thieves and strumpets streaming in from chartres to calais scurvy knaves are extra scurvy on the sixth of january all because it's topsy turvy day come one come all hurry hurry here's your chance see the mystery and romance come one come all see the finest girl in france make an entrance to entrance dance la esmeralda dance here it is the moment you've been waiting for here it is you know exactly what's in store now's the time we laugh until our sides get sore now's the time we crown the king of fools so make a face that's horrible and frightening make a face as gruesome as a gargoyle's wing for the face that's ugliest will be the king of fools why topsy turvy ugly folks forget your shyness topsy turvy you could soon be called your highness put your foulest features on display be the king of topsy turvy day everybody once a year we throw a party here in town hail to the king once a year we turn all paris upside down oh what a king once a year the ugliest will wear a crown girls give a kiss once a year on topsy turvy day we've never had a king like this and it's the day we do the things that we deplore on the other three hundred and sixty-four once a year we love to drop in where the beer is never stopping for the chance to pop some popinjay and pick a king who'll put the top in topsy turvy topsy turvy mad and crazy upsy daysy topsy turvy day 
The Hunchback of Notre-Dame 2,An Ordinary Miracle,imagine someone to love who loves you imagine to look in her eyes and see imagine how miraculous it seems to be but it's not so very rare you can find it anywhere it's an ordinary miracle the kind you find around you every single day or maybe it's just seasonal like spring and may they're so many the ordinary miracle a common kind of miracle that runs right by or maybe it's too gradual to catch your eye so you miss it a sudden bolt of distant lightning cathedrals rising out of stone a baby starts to walk or talk one day then shockingly he's grown and in love that volcano of emotion not ten thousand gypsy potions can undo yes it's love well of course my view is slanted but people do take love for granted sad but true of all the many miracles mysterious and marvelous and big and small when people fall in love it really beats them all oh to see it to feel it to know it imagine someone to love who loves you imagine to look in her eyes and see imagine how extraordinary it would be if an ordinary miracle happened to me 
The Hunchback of Notre-Dame 2,Fa-la-la-la Fallen In Love,it's all too sudden our boy has grown there's nothing more to do it's true he's on his own we've tried to teach him we've tried to show the things a gargoyle and a gar-guy ought to know he's gone he's left and do we feel bereft no he's fa-la-la-la fallen in love he's fa-la-la-la fallen in love sing a rousing rollicking roundelay for our rip-roaring rhapsody he's fa-la-la-la fallen in love he's fa-la-la-la fallen in love why should we be blue his love is true so bid the kid adieu oh wow just across the square look at quasi there love has nailed him oh wow sighing when he talks flying when he walks love's derailed him he's fa-la-la-la fallen in love oh wow he's fa-la-la-la fallen in love just across the square sing a merry madrigal melody look at quasi there for his marvelous malady love's derailed him he's fa-la-la-la fallen in love oh wow he's fa-la-la-la fallen in love sighing when he talks he's fa-la-la-la la-la-la fallen fa-la-la-la fa-la-la-la la-la-la fallen fa-la-la-la fa-la-la-la la-la-la fallen fa-la-la-la oh wow quasimodo's fallen in love 
The Hunchback of Notre-Dame 2,I'd Stick With You,you mean if ever i'm in any kind of great big mess or trouble i'd be right there we'd be a pair you mean you'll never leave me all alone we'll always be a double we two that's the arithmetic i'd stick with you just say we're hanging by a rope above an evil witch's brew pot it's bubbling blue with sticky goo our rope gives way and then we crash and make a splash inside her stew pot of glue even if you're sticky slick i'd stick with you through all the thin and thick closer than frack and frick we two will do the trick i'd stick with you fast as the clock can tick i'd be there just as quick no one i'd rather pick i'd stick with you 
The Hunchback of Notre-Dame 2,I'm Gonna Love You,angel in disguise stories in his eyes love for every true heart that he sees was it just a lucky day that he turned and looked my way or is it heaven right before my very eyes he showed me all new things the shimmer of moonbeams i was blind but now he's helped me see i was lost but now i'm found his happiness surrounds and now i find that my dreams can come true 'cause i'm gonna love you for the rest of my life i'm holding you safe here in this heart of mine i can't live without you 'cause my soul would die you know i'm telling the truth i'll spend the rest of my life loving you it didn't start this way it happened just one day you smiled at me and i saw you differently now i would tremble just to be a part of you as we begin a life that's sure to never end 'cause i'm gonna love you for the rest of my life i'm holding you safe here in this heart of mine i can't live without you 'cause my soul would die you know i'm telling the truth i'll spend the rest of my life loving you the rest of my life baby loving you 
The Hunchback of Notre-Dame 2,Le Jour D'Amour,there's music in the marketplace the streets have come alive the town is in a tizzy it's a busy buzzing hive there's cause for this commotion and emotional display we just can't wait to celebrate our favorite holiday le jour d'amour  your song is in the air  what magic will you make for us what promise will you share that golden bell sweet la fidele will soon be ringing clear the best of all the festivals le jour d'amour is here mesdames et messieurs time is short you must find your true love find your soul's mate for the festival d'amour is upon us some have come in puppy love perchance to steal a kiss some are still enamored after years of wedded bliss everyone's parading down the promenade in pairs to join the celebration at the finest of the fairs le jour d'amour your song is in the air what magic will you make for us whose name shall i declare that golden bell sweet la fidele will soon be ringing clear the best of all the festivals le jour d'amour is here oh how the stars will sparkle on the water as the troubadours sing tales of true romance the spirits may rise with fire in their eyes while gypsy girls enchant you with a dance le jour d'amour your song is in the air what magic will you make for us what promise will you share that golden bell sweet la fidele will soon be ringing clear the best of all the festivals le jour d'amour is here 
The Adventures of Ichabod and Mr. Toad,Ichabod,who's that comin' down the street are they shovels or are they feet lean and lanky skin and bone with clothes a scarecrow would hate to own yet he has a certain air debonair and devil-may-care it's the new schoolmaster what's his name ichabod ichabod crane ichabod what a name kind of odd but nice just the same funny pan funny frame ichabod ichabod crane ichabod may be quaint may be odd and maybe he ain't anyway there's no complaint from ichabod ichabod crane 
The Adventures of Ichabod and Mr. Toad,Katrina,once you have met that little coquette katrina you won't forget katrina but nobody yet has ever upset katrina that cute coquette katrina you can do more with margaret or helena or ann or angelina but katrina will kiss and run to her a romance is fun with always another one to start and yet when you've met that little coquette katrina you've lost your heart 
The Adventures of Ichabod and Mr. Toad,Merrily on Our Way,are we on our way to nottingham to brittingham to buckingham or any hammy hamlet by the sea no are we on our way to devonshire to lancashire or worcestershire i'm not so sure we'll have to wait and see oh are we on our way to dover or going merrily over the jolly old road that goes to plymouth ho no we're merrily merrily merrily merrily merrily on our way to nowhere in particular we're merrily merrily merrily merrily merrily on our way where the roads are perpendicular we're always in a hurry we have no time to stall we've got to be there we've got to be there but where we can't recall we're merrily merrily merrily merrily merrily on our way and we may be going to devonshire to lancashire to worcestershire we're not so sure but what do we care we're only sure we've got to be there we're merrily on our way to nowhere at all 
The Adventures of Ichabod and Mr. Toad,The Headless Horseman,gather 'round and i'll elucidate what goes on outside when it gets late along about midnight the ghosts and banshees they get together for their nightly jamboree there's things with horns and saucer eyes some with fangs about this size some are fat and some are thin and some don't even wear their skin i'm telling you brother it's a frightful sight to see what goes on halloween night when the spooks have a midnight jamboree they break it up with fiendish glee the ghosts are bad but the one that's cursed is the headless horseman he's the worst that's right he's a fright on halloween night when he goes a joggin' 'cross the land holding his noggin in his hand demons take one look and groan and they hit the road for parts unknown beware take care he rides alone and there's no spook like a spook that's spurned they don't like him and he's really burned he swears to the longest day he's dead he'll show them that he can get a head they say he's tired of his flaming top he's got a yen to make a swap so he rides one night each year to find a head in the hollow here he likes 'em little he likes 'em big parted in the middle or a wig black or white or even red the headless horseman needs a head with a hip hip and a clippity clop he's out looking for a top to chop so don't stop to figure out a plan you can't reason with a headless man now if you doubt this tale is so i met that spook just a year ago now i didn't stop for a second look but made for the bridge that spans the brook for once you've crossed that bridge my friend the ghost is through his power ends so when you're ridin' home tonight make for the bridge with all your might he'll be down in the hollow there he needs your head look out beware with a hip hip and a clippity clop he's out looking for a head to swap so don't try to figure out a plan you can't reason with a headless man 
Incredibles 2,Chill or Be Chilled,who's the cat who's always chill when survival odds are close to nil frozone frozone frozone frozone always chill always chill who's the cat who's always chill who's the cat when survival odds are close to nil who's that frozone frozone so chill so chill talkin' 'bout frozone frozone frozone frozone 
Incredibles 2,Here Comes Elastigirl,here comes elastigirl stretching her arms elastigirl no one's beyond her reach elastigirl elastigirl elastigirl elastigirl here comes elastigirl stretching her arms elastigirl no one's beyond her reach elastigirl 
Incredibles 2,Pow! Pow! Pow!,pow pow pow pow pow pow mr incredible incredible incredible catching the badguys pow pow pow pow pow pow pow pow incredible incredible mr incredible incredible incredible catching the badguys pow pow pow pow pow 
The Jungle Book,Colonel Hathi's March,hup two three four keep it up two three four hup two three four keep it up two three four hup two three four oh the aim of our patrol is a question rather droll for to march and drill over field and hill is a military goal is a military goal hup two three four dress it up two three four by the ranks or single file over every jungle mile oh we stamp and crush through the underbrush in the military style in the military style hup two three four keep it up two three four 
The Jungle Book,I Wanna Be Like You,now i'm the king of the swingers oh the jungle vip i've reached the top and had to stop and that's what's botherin' me i wanna be a man mancub and stroll right into town and be just like the other men i'm tired of monkeyin' around oh oobee doo i wanna be like you i wanna walk like you talk like you too you'll see it's true an ape like me can learn to be human too now don't try to kid me mancub i made a deal with you what i desire is man's red fire to make my dream come true now give me the secret mancub come on clue me what to do give me the power of man's red flower so i can be like you you i wanna be like you i wanna walk like you talk like you too you'll see it's true someone like me can learn to be like someone like me can learn to be like someone like you can learn to be like someone like me 
The Jungle Book,My Own Home,my own home my own home my own home my own home father's hunting in the forest mother's cooking in the home i must go to fetch the water till the day that i am grown till i'm grown till i'm grown i must go to fetch the water till the day that i am grown then i will have a handsome husband and a daughter of my own and i'll send her to fetch the water i'll be cooking in the home then i'll send her to fetch the water i'll be cooking in the home 
The Jungle Book,That's What Friends Are For,we're your friends we're your friends we're your friends to the bitter end the bitter end when you're alone when you're alone who comes around who comes around to pluck you up to pluck you up when you are down when you are down and when you're outside looking in who's there to open the door that's what friends are for who's always eager to extend a friendly claw that's what friends are for and when you're lost in dire need who's at your side at lightning speed we're friends with every creature comin' down the pike in fact we've never met an animal we didn't like didn't like so you can see we're friends in need and friends in need are friends indeed we'll keep you safe in the jungle for evermore that's what friends are for 
The Jungle Book,The Bare Necessities,look for the bare necessities the simple bare necessities forget about your worries and your strife i mean the bare necessities old mother nature's recipes that bring the bare necessities of life wherever i wander wherever i roam i couldn't be fonder of my big home the bees are buzzin' in the tree to make some honey just for me when you look under the rocks and plants and take a glance at the fancy ants then maybe try a few the bare necessities of life will come to you they'll come to you look for the bare necessities the simple bare necessities forget about your worries and your strife i mean the bare necessities that's why a bear can rest at ease with just the bare necessities of life now when you pick a pawpaw or a prickly pear and you prick a raw paw well next time beware don't pick the prickly pear by the paw when you pick a pear try to use the claw but you don't need to use the claw when you pick a pair of the big pawpaw have i given you a clue the bare necessities of life will come to you they'll come to you look for the bare necessities the simple bare necessities forget about your worries and your strife i mean the bare necessities that's why a bear can rest at ease with just the bare necessities of life with just the bare necessities of life yeah man 
The Jungle Book,Trust in Me,trust in me just in me shut your eyes and trust in me you can sleep safe and sound knowing i am around slip into silent slumber sail on a silver mist slowly and surely your senses will cease to resist trust in me just in me shut your eyes and trust in me 
