Movie,Song,Lyrics
Aladdin (Live-Action),Prince Ali,make way for prince ali say hey it's prince ali hey clear the way in the old bazaar hey you let us through it's a brand new star oh come be the first on your block to meet his eye make way here he comes ring bells bang the drums you're gonna love this guy prince ali fabulous he ali ababwa show some respect boy genuflect down on one knee now try your best to stay calm brush up your friday salaam then come and meet his spectacular coterie prince ali mighty is he ali ababwa strong as ten regular men definitely he's faced the galloping hordes a hundred bad guys with swords who sent those goons to their lords why prince ali fellas he's got he's got seventy-five golden camels woo uh huh now the ladies what he got purple peacocks he's got fifty-three uh huh uh huh uh huh when it comes to exotic-type mammals everybody help me out he's got a zoo i'm telling you it's a world-class menagerie prince ali handsome is he ali ababwa that physique how can i speak weak in my knees yummy boy so get on out in that square adjust your veil and prepare to gawk and grovel and stare at prince ali he's got ninety-five white persian monkeys he's got the monkeys a bunch of monkeys and to view them he charges no fee he's generous so generous he's got ten thousand servants and flunkies proud to work for him they bow to his whim love serving him they're just lousy with loyalty to ali prince ali prince a- we're waiting for you we're not going till you go you can do it there it is prince ali amorous he ali ababwa heard your princess was hot where is she and that good people is why he got all cute and dropped by with sixty elephants llamas galore for real with his bears and lions a brass band and more what with his forty fakirs his cooks his bakers his birds that warble on key make way for prince ali 
Aladdin (Live-Action),Speechless (Part 1),here comes a wave meant to wash me away a tide that is taking me under broken again left with nothing to say my voice drowned out in the thunder but i can't cry and i can't start to crumble whenever they try to shut me or cut me down i can't stay silent though they wanna keep me quiet and i tremble when they try it all i know is i won't go speechless 
Aladdin (Live-Action),Speechless (Part 2),written in stone every rule every word centuries old and unbending stay in your place better seen and not heard well now that story's ending 'cause i i cannot start to crumble so come on and try try to shut me cut me down i won't be silenced you can't keep me quiet won't tremble when you try it all i know is i won't go speechless speechless let the storm in i cannot be broken no i won't live unspoken 'cause i know that i won't go speechless try to lock me in this cage i won't just lay me down and die i will take these broken wings and watch me burn across the sky hear the echos saying i won't be silenced though you wanna see me tremble when you try it all i know is i won't go speechless speechless 'cause i'll breathe when they try to suffocate me don't you underestimate me 'cause i know that i won't go speechless all i know is i won't go speechless speechless 
Aladdin (Live-Action),Speechless (Full),here comes a wave meant to wash me away a tide that is taking me under swallowing sand left with nothing to say my voice drowned out in the thunder but i won't cry and i won't start to crumble whenever they try to shut me or cut me down i won't be silenced you can't keep me quiet won't tremble when you try it all i know is i won't go speechless 'cause i'll breathe when they try to suffocate me don't you underestimate me 'cause i know that i won't go speechless written in stone every rule every word centuries old and unbending stay in your place better seen and not heard well now that story's ending 'cause i i cannot start to crumble so come on and try try to shut me and cut me down i won't be silenced you can't keep me quiet won't tremble when you try it all i know is i won't go speechless speechless let the storm in i cannot be broken no i won't live unspoken 'cause i know that i won't go speechless try to lock me in this cage i won't just lay me down and die i will take these broken wings and watch me burn across the sky hear the echo saying i won't be silenced though you wanna see me tremble when you try it all i know is i won't go speechless speechless 'cause i'll breathe when they try to suffocate me don't you underestimate me 'cause i know that i won't go speechless all i know is i won't go speechless speechless 
Aladdin: The Return of Jafar,Arabian Nights,follow me to a place where incredible feats are routine every hour or so where enchantment runs rampant yes wild in the streets open sesame here we go arabian nights like arabian days they tease and excite take off and take flight they shock and amaze arabian nights like arabian days more often than not are hotter than hot in a lot of good ways pack your shield pack your sword you won't ever get bored though get beaten or gored you might come on down stop on by hop a carpet and fly to another arabian night 
Aladdin: The Return of Jafar,Forget About Love, forget about that guy forget about the way you fell into his eyes forget about his charms forget about the way he held you in his arms walking on air's obnoxious the thrills the chills will make you nauseous and you'll never get enough  just forget about love forget about romance forget about the way your heart begins to dance then you feel the blush when he's spouting out some sentimental mush love really is revolting it's even worse than when you're molting enough of this fluff just forget about love  i had almost forgotten the way it felt when he held out his hand for mine my heart all a-flutter  oh how i shudder  the first time we kissed  it won't be missed forget about his touch  i can't forget about his touch  in the scheme of things it doesn't matter much  it matters so much  you're better on your own a meal becomes a banquet when you eat alone  hmm-mm-mm-mm  love's filled with compromises  and don't you hate those big surprises  a cozy rendez-vous  oh please  candlelight for two  oh geez  look you're calling my bluff i can't  just  forget about love  i can't forget about my heart  i can't forget about my heart  and how it felt to fall for you right from the start  i'm still falling  whatever we may do  whatever we may do  you are here for me and i'll be there for you  i'll be there  to wish to want to wander to find the sun through rain and thunder  a cozy rendez-vous  yes please  candlelight for two  oh geez enough is enough   we can't forget about love 
Aladdin: The Return of Jafar,I'm Looking out for Me,that's it i've had it  i hate to be dramatic but it's time for me to fly the coop terrific fine i'm drawin' the line before i wind up in a parrot soup i was a fool to let you run the show  i'm cuttin' ya loose pal look out below arrividerci c'est la vie hope all goes well i'm lookin' out for me okay i'm little been playin' second fiddle and i don't get no respect i turn the other cheek but this busted beak is the only thanks that i get i never found a friend that i can trust they promise caviar and leave me eatin' dust that's some reward for loyalty from here on in i'm lookin' out for me oh i don't need nobody else i'll never fail i'll cover my own tail i can take care of myself you know it just don't pay to give a hoot i'm givin' all my heart what do i get the boot i'm through wit' dat i'm flappin' free from here on in i'm lookin' out for me 
Aladdin: The Return of Jafar,Nothing In the World (Quite Like a Friend), i parachuted down into the taj mahal  i rollerbladed all along the great great wall i even made the famous leaning tower fall but who was with me through it all nobody the moscow circus hired me to fly trapeze on mount olympus won a race with hercules it's easy when you're chased by killer bees who said gesundheit when i sneezed so now i'm home home again with you you chase the clouds away whenever i am blue you're always blue and the pyramids i highly recommend there is nothing in the world quite like a friend slept like a babe in bombay on a bed of nails moroccans loved my daring dance of seven veils i single-handedly i even saved the whales no one was there to hear my tales in acapulco joined a mariachi band i rode the ragin' rapids down the rio grande flew in an air balloon but when i tried to land nobody laughed or lent a hand without you the amazon is just a trickle without you the sahara's not so hot without you niagara falls is just a leaky faucet and the qeii is just some yacht now that i'm home home again it's clear all i ever wanted  seems to be right here  i've traveled east and west and now i'm back again and there's nothing in the world quite like a friend   there's nothing in the world  nothing in the whole wide world  there is nothing in the world quite like a friend  nothin' in the whole wide world 
Aladdin: The Return of Jafar,You're Only Second Rate,i must admit your parlor tricks are amusing i bet you've got a bunny under your hat  now here's your chance to get the best of me hope your hand is hot c'mon clown let's see what you've got you try to slam me with your hardest stuff but your double whammy isn't up to snuff i'll set the record straight you're simply out of date you're only second rate you think your cat's a meanie but your tiger's tame you've got a lot to learn about the genie game so for your education i'll reiterate you're only second rate men cower at the power in my pinky my thumb is number one on every list but if you're not convinced that i'm invincible put me to the test i'd love to lay this rivalry to rest go ahead and zap me with the big surprise snap me in a trap cut me down to size i'll make a great escape it's just a piece of cake you're only second rate you know your hocus-pocus isn't tough enough and your mumbo-jumbo doesn't measure up let me pontificate upon your sorry state you're only second rate zaba-caba-dabra granny's gonna grab ya alakazam-da-mus and this thing's bigger than the both of us so spare me your tremendous scare you look horrendous in your underwear and i can hardly wait to discombobulate i'll send ya back and packing in a shipping crate you'd make a better living with a spinning plate you're only second rate 
Aladdin and the King of Thieves,Are You in or Out?, i remember a time when crime was sublime there was plenty of loot in the lair we'd plunder and pillage and ransack a village with nary a worry or care then along came this king with his soft-hearted dream but he ratted us out in the end so rally the troops we were meant to regroup and return to our roots once again are you in or out gotta know without a doubt i'm the one you need for a dirty deed i'm the best success is guaranteed are you men or mice take a slice of my advice you want a fearless leader one that's strong and stout better vote for me are you in or out  we used to be smart yes horrendously heartless in a ravaging raid we were rough we knew what we had to be blissfully bad then cassim brought this sensitive stuff and we strayed from the path of our rigorous wrath now we're taking a bath in the dust but we'll reclaim our winnings our humble beginnings in turmoil and torture we trust  are you in or out double-crossers or devout put your faith in me pretty soon you'll see i'm the prince of generosity are you foe or friend here's the path i recommend you want a ride to fame i've got the fastest route what's it gonna be are you in or out  we'll go robbing in all the right places from agrabah dunes to paris imagine the fear on their faces when we drop by for cookies and tea  are you in or out if you're with me give a shout i'll lead you all the way into the glory days  we'll begin a life of crime that pays are you out or in make your choice now sink or swim  you can stick with me or stay behind and pout what's it gonna be consider carefully are you in or out 
Aladdin and the King of Thieves,Father and Son, it's a big bright beautiful future thank your lucky stars you're alive you got someone special to talk to a friend that you can trust for life you've been on your own with no family ties but those solo days are done you'll be two of a kind spending quality time together as father and son buildin' model ships takin' fishin' trips workin' hand in hand painting the palace mowin' the sand first at ten to go with your daddy-o once you break the ice you can postulate paternal advice see you're travelling at the speed of life that's the theory of relatives it's a fine fantabulous future i see fruit on the family tree you'll be great as a grumpy ol' grandpa bouncing babies on your knee you can fall asleep on the comfy couch after playin' one-on-one reamin' back-to-back betcha wallop the shaq together as father and son  may be a bumpy ride  we'll make it side by side  good afternoon i'll be your travel guide move over aladdin make room for dad you got a whole new shoulder to cry on take a chance now give it a spin you've had chums for palin' around with but you never had a friend like him put your checkered past behind you now no more living on the run face the big bright beautiful future together together together together as father and son 
Aladdin and the King of Thieves,Out of Thin Air, you showed me the world when i was all locked up inside you reached out your hand and took me on a magic carpet ride one look at your smile and i could see the light shining everywhere people like you don't come out of thin air  oh jasmine you don't understand there is so much that you don't see just think if you can what growing up had to be like for me your father's a man who taught you who you are mine was never there so how can you say i don't come out of thin air  there's so much i want to know  you've got the chance to learn  if it means i'd have to go  i'll be right here when you return our wedding can wait  i love you  i think it's worth this small delay  maybe you're right  and won't it be great to have your father see our wedding day  i've waited so long  it isn't too late  to learn the truth  and now at last we can finally say  your father is really there  there's so much that we might share  and you'll finally learn  you don't come out of thin air 
